Huffman Encoding Report (Word-Level)
Total Tokens: 2291808
Unique Symbols: 31615
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
ne                   | 232        | 0110111101111        | 3016
gold                 | 232        | 0110111100010        | 3016
service              | 232        | 0110111100100        | 3016
each                 | 230        | 0110111001100        | 2990
sorrow               | 230        | 0110111001111        | 2990
care                 | 230        | 0110111011001        | 2990
seek                 | 229        | 0110110111110        | 2977
PAGE                 | 229        | 0110110111111        | 2977
sight                | 228        | 0110110100110        | 2964
between              | 228        | 0110110110110        | 2964
people               | 227        | 0110110100100        | 2951
Were                 | 226        | 0110110100010        | 2938
Like                 | 226        | 0110101110111        | 2938
age                  | 225        | 0110101110110        | 2925
lose                 | 225        | 0110101110101        | 2925
send                 | 225        | 0110101110011        | 2925
talk                 | 225        | 0110101110100        | 2925
_Aside               | 225        | 0110101110010        | 2925
under                | 224        | 0110101010011        | 2912
worth                | 224        | 0110101011100        | 2912
thyself              | 224        | 0110101000110        | 2912
Pray                 | 224        | 0110101010101        | 2912
Edward               | 224        | 0110101000001        | 2912
times                | 223        | 0110100010100        | 2899
less                 | 223        | 0110100011000        | 2899
return               | 223        | 0110100011001        | 2899
Yes                  | 223        | 0110100010101        | 2899
em                   | 223        | 0110100010111        | 2899
LADY                 | 223        | 0110011111111        | 2899
days                 | 222        | 0110011111110        | 2886
cold                 | 222        | 0110011111011        | 2886
land                 | 221        | 0110011011011        | 2873
strong               | 220        | 0110001111111        | 2860
proud                | 219        | 0110001111000        | 2847
royal                | 219        | 0110001110110        | 2847
purpose              | 218        | 0110001100101        | 2834
wind                 | 217        | 0110000111100        | 2821
maid                 | 217        | 0110000111011        | 2821
One                  | 216        | 0110000100111        | 2808
charge               | 216        | 0110000101110        | 2808
seem                 | 215        | 0101111111111        | 2795
dare                 | 215        | 0101111111101        | 2795
joy                  | 214        | 0101111110110        | 2782
knows                | 214        | 0101111110010        | 2782
V                    | 214        | 0101111110000        | 2782
beseech              | 214        | 0101111110111        | 2782
TIMON                | 213        | 0101111000011        | 2769
worthy               | 213        | 0101111001101        | 2769
cry                  | 213        | 0101111001100        | 2769
company              | 213        | 0101111001110        | 2769
sister               | 212        | 0101110101001        | 2756
lives                | 211        | 0101101111111        | 2743
loves                | 211        | 0101110100000        | 2743
